3.999164311677689	-6.344291822313394
-1.0216948796055192	-9.27313019742661
-4.787339273067943	-9.27313019742661
-8.13457873392342	-10.528346643903689
-11.481818194778896	-12.620374054698845
-14.829057655634386	-14.712401465493995
-20.68672671213148	-15.54921242981206
-25.707585903414696	-12.620374054698845
-30.310040162090985	-11.36515760822175
-34.49408948816033	-12.201968572539812
-39.93335361205049	-13.875590501175935
-46.62783253376145	-15.130806947653028
-51.64869172504467	-15.54921242981206
